URL,CCPA,gpc_json,usp_string_off,usp_off_version,usp_string_on,usp_on_version,Optanon_w/GPC=off,Optanon_w/GPC=on,packet_gpc_off,packets_gpc_on,percentage_change
macworld.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
al.com,TRUE,NOT_FOUND,4,4,1---,1,0,0,,,
cbsi.com,TRUE,json_err,1YNN,1,1YYN,1,,,854,690,-19.20374707
marvel.com,TRUE,NOT_FOUND,1YNY,1,1YYY,1,0,1,796,645,-18.96984925
lululemon.com,TRUE,json_err,0,0,0,0,0,1,723,733,1.383125864
epicurious.com,TRUE,NOT_FOUND,1---,1,1---,1,0,groups,,,
invisalign.com,TRUE,json_err,0,0,0,0,,,,,
indiewire.com,TRUE,NOT_FOUND,1---,1,1---,1,0,1,1092,801,-26.64835165
playwire.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
chick-fil-a.com,TRUE,NOT_FOUND,0,0,0,0,0,1,714,711,-0.420168067
active.com,TRUE,json_err,1---,1,1---,1,0,1,825,679,-17.6969697
dropcam.com,TRUE,json_err,0,0,0,0,,,,,
sysco.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
ocregister.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
august.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
detroitnews.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
jsonline.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
chipotle.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
td.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
infoworld.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
bmo.com,TRUE,TRUE,0,0,0,0,0,1,1161,494,-57.45047373
arubainstanton.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
helpscout.net,TRUE,NOT_FOUND,0,0,0,0,,,,,
orlandosentinel.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
athenahealth.com,TRUE,NOT_FOUND,0,0,0,0,0,1,308,146,-52.5974026
sun-sentinel.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
viki.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
sleepnumber.com,TRUE,NOT_FOUND,0,0,0,0,0,1,841,870,3.448275862
allure.com,TRUE,json_err,1---,1,1---,1,0,groups,,,
ksl.com,TRUE,json_err,0,0,0,0,,,,,
appfolio.com,TRUE,json_err,0,0,0,0,0,__privaci_cookie_consent_uuid,,,
teenvogue.com,TRUE,json_err,1---,1,1---,1,0,groups,,,
mattel.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
dotloop.com,TRUE,json_err,0,0,0,0,0,1,285,1249,338.245614
housecallpro.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
symbolab.com,TRUE,NOT_FOUND,0,0,0,0,0,1,467,401,-14.13276231
horoscope.com,TRUE,json_err,1---,1,1YYN,1,,,984,742,-24.59349593
businessnewsdaily.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
gadgetsnow.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
curbed.com,TRUE,json_err,1YNY,1,1YNY,1,,,,,
vudu.com,TRUE,NOT_FOUND,1YNN,1,1YYN,1,0,1,684,716,4.678362573
stltoday.com,TRUE,NOT_FOUND,1YN-,1,1YY-,1,,,1012,854,-15.61264822
kobo.com,TRUE,TRUE,0,0,0,0,,,159,127,-20.12578616
elavon.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
trip.com,TRUE,json_err,0,0,0,0,,,,,
earnest.com,TRUE,TRUE,0,0,0,0,,,1056,606,-42.61363636
edmentum.com,TRUE,json_err,1-N-,1,1-Y-,1,,,892,738,-17.26457399
dlink.com,TRUE,json_err,0,0,0,0,,,,,
pingdom.com,TRUE,NOT_FOUND,0,0,0,0,0,1,733,744,1.500682128
sailthru.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
ncr.com,TRUE,NOT_FOUND,0,0,0,0,0,1,7,608,8585.714286
milb.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
clearbit.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
yourdictionary.com,TRUE,NOT_FOUND,0,0,0,0,0,0,,,
starplus.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
patagonia.com,TRUE,TRUE,0,0,0,0,0,0,1072,22,-97.94776119
bleacherbreaker.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
haproxy.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
waplog.com,TRUE,json_err,0,0,0,0,,,,,
intensedebate.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
purestorage.com,TRUE,NOT_FOUND,0,0,0,0,0,1,787,794,0.889453621
starwars.com,TRUE,NOT_FOUND,1YNY,1,1YYY,1,0,1,855,809,-5.380116959
servers.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
blogtalkradio.com,TRUE,NOT_FOUND,0,0,0,0,0,1,253,389,53.75494071
gale.com,TRUE,NOT_FOUND,0,0,0,0,isIABGlobal=false,isIABGlobal=false,,,
onepeloton.com,TRUE,json_err,0,0,0,0,0,1,618,664,7.443365696
wwd.com,TRUE,NOT_FOUND,1---,1,1---,1,0,1,697,551,-20.94691535
wizards.com,TRUE,json_err,0,0,0,0,,,,,
care.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
mocospace.com,TRUE,json_err,4,4,4,4,,,,,
loggly.com,TRUE,NOT_FOUND,0,0,0,0,0,1,1051,833,-20.74215033
netfirms.com,TRUE,json_err,0,0,0,0,0,1,903,848,-6.090808416
geforce.com,TRUE,json_err,0,0,0,0,,,,,
noredink.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
yougov.com,TRUE,json_err,0,0,0,0,0,0,,,
hellofresh.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
wyze.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
myherbalife.com,TRUE,NOT_FOUND,0,0,0,0,0,1,63,212,236.5079365
theringer.com,TRUE,NOT_FOUND,1YNY,1,1YNY,1,,,,,
townhall.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
oprah.com,TRUE,NOT_FOUND,1YNN,1,1YNN,1,0,0,,,
trimble.com,TRUE,NOT_FOUND,0,0,0,0,0,1,597,773,29.48073702
networkworld.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
gamingbible.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
telerik.com,TRUE,NOT_FOUND,0,0,0,0,0,1,938,818,-12.79317697
deseret.com,TRUE,NOT_FOUND,1---,1,1---,1,0,1,752,1007,33.90957447
iqm.com,TRUE,json_err,0,0,0,0,0,1,413,520,25.90799031
underarmour.com,TRUE,json_err,0,0,0,0,,,,,
weddingwire.com,TRUE,NOT_FOUND,0,0,0,0,0,0,,,
